date,state,coalition,prob_majority,pct_05,pct_50,pct_95
2021-02-15,National,afd,0.0,47.0,80.0,119.0
2021-02-15,National,cdu,0.0,240.0,258.0,275.0
2021-02-15,National,cdu_fdp,0.0136,298.0,319.0,340.0
2021-02-15,National,cdu_fdp_gruene,1.0,416.0,443.0,471.0
2021-02-15,National,cdu_spd,0.9249,358.0,379.0,397.0
2021-02-15,National,fdp,0.0,44.0,61.0,78.0
2021-02-15,National,gruene,0.0,109.0,124.0,141.0
2021-02-15,National,linke,0.0,42.0,59.0,78.0
2021-02-15,National,spd,0.0,105.0,120.0,134.0
2021-02-15,National,spd_fdp_gruene,0.0004,279.0,304.0,331.0
2021-02-15,National,spd_gruene,0.0,225.0,244.0,264.0
2021-02-15,Baden-Württemberg,afd,,0.0,9.0,24.0
2021-02-15,Baden-Württemberg,cdu,,35.0,36.0,38.0
2021-02-15,Baden-Württemberg,fdp,,6.0,10.0,13.0
2021-02-15,Baden-Württemberg,gruene,,18.0,20.0,23.0
2021-02-15,Baden-Württemberg,linke,,0.0,5.0,10.0
2021-02-15,Baden-Württemberg,spd,,7.0,11.0,16.0
2021-02-15,Bayern,afd,,0.0,12.0,30.0
2021-02-15,Bayern,cdu,,45.0,46.0,48.0
2021-02-15,Bayern,fdp,,5.0,9.0,13.0
2021-02-15,Bayern,gruene,,17.0,21.0,24.0
2021-02-15,Bayern,linke,,0.0,6.0,13.0
2021-02-15,Bayern,spd,,7.0,13.0,19.0
2021-02-15,Berlin,afd,,0.0,3.0,7.0
2021-02-15,Berlin,cdu,,5.0,7.0,8.0
2021-02-15,Berlin,fdp,,1.0,2.0,3.0
2021-02-15,Berlin,gruene,,5.0,6.0,7.0
2021-02-15,Berlin,linke,,4.0,5.0,7.0
2021-02-15,Berlin,spd,,3.0,4.0,6.0
2021-02-15,Brandenburg,afd,,0.0,4.0,8.0
2021-02-15,Brandenburg,cdu,,5.0,9.0,10.0
2021-02-15,Brandenburg,fdp,,0.0,1.0,2.0
2021-02-15,Brandenburg,gruene,,2.0,3.0,4.0
2021-02-15,Brandenburg,linke,,2.0,4.0,5.0
2021-02-15,Brandenburg,spd,,2.0,3.0,4.0
